id,Place Name,created_at,favorite_count,full_text,quote_count,reply_count,retweet_count
1,Monumen Nasional,Mon Apr 01 00:06:45 +0000 2024,9214,pagi pagi liat kabar monas pindah wkwk https://t.co/stl8rFy21K,314,360,1362
1,Monumen Nasional,Fri May 17 10:09:16 +0000 2024,203,cukup? atau kurang? monas morin https://t.co/jfSfhd4KpO,0,14,14
1,Monumen Nasional,Fri Jan 19 03:53:47 +0000 2024,70,Miris... 17Th Aksi Kamisan Pelanggaran HAM Berat Tidak Tuntas Diusut Dihadiri ratusan orang dari berbagai elemen aktifis maupun keluarga korban menghadiri aksi Kamisan yg genap berusia 17 tahun digelar didepan Istana Merdeka dikawasan Monas pada hari kamis. https://t.co/136eI3IheQ,1,2,32
1,Monumen Nasional,Tue May 07 05:45:52 +0000 2024,648,GANTUNG ANJING PEKING DI MONAS.... GARA-GARA IJAZAH PALSU ANIES BASWEDAN DI SINGKIRKAN DAN DI GAGALKAN JADI PRESIDEN....‼️ #GantungAnjingPeking #GantungAnjingPeking 🆘🆗 https://t.co/13bg0Mpu4C,12,103,317
1,Monumen Nasional,Tue May 07 12:39:22 +0000 2024,74,/bxg stop stop stop gua sedih banget ayo gyu semangat pdkt nya kamu pasti bisa aku semangatin dari atas monas ya sampai ketemu di ujung tahun aku ingin lebaran yuk bismillah berani semangat anak ganteng https://t.co/ybJ0LGH7wP,8,4,16
1,Monumen Nasional,Sat Jul 29 14:17:08 +0000 2023,102,Yama: jalan² ke Monas asik orang Indonesia baik katanya makan banyak Kana Boon (Taguchi): Nasi goreng #1 pengen konser di Indonesia sebagai mimpinya makan nasi lauk(?) #ImpactNation 100/10 https://t.co/FUjLwhdebh,6,1,27
1,Monumen Nasional,Fri Mar 15 04:00:36 +0000 2024,7,Prabowo itu Punya Pabrik kertas kan...??? -Bahan utama kertas itu kayu -Penebang Pohon di monas di masa Anies yg Mengusung anies adalah Prabowo -Pohon Hasil pembabatan lahan Food Estate kemana...? ●Masak iya pohon² itu jadi Bahan baku buat Pabrik kertas milik Prabowo...? ‍️ https://t.co/0qff33BmVi,0,0,6
1,Monumen Nasional,Thu Sep 28 04:39:25 +0000 2023,2,Nonton orkestra di Monas https://t.co/Gct9zkV3AW,0,3,1
1,Monumen Nasional,Thu Sep 21 16:52:28 +0000 2023,68,bikin leo (tp ga selesai bjir) ngobrol random nyanyi nyanyi diakhiri dengan AAA WONWOO WONWOO dan monas yg laper. emg absurd dah lu THANKS FOR TODAY 우리 사장님 https://t.co/KsuMTY5VN6,0,1,2
1,Monumen Nasional,Mon Sep 18 03:30:55 +0000 2023,6,yailah cuman kontradiksi bikin piagam doang ini ada yg bacot mau gantung di monas udah dipidana ampe keluar akhirnya ngeles gini jg msh bisa bikin partai wkwkwkwk https://t.co/vLRrU07bbJ,0,0,2
